,tweet_id,retweets,favorites
445,817536400337801217,2957,11779
446,817502432452313088,3381,0
447,817423860136083457,14673,33859
448,817415592588222464,942,5605
449,817181837579653120,8461,0
450,817171292965273600,2019,8778
451,817120970343411712,2592,12231
452,817056546584727552,1641,8603
453,816829038950027264,4715,0
454,816816676327063552,2037,10022
455,816697700272001025,2182,9797
456,816450570814898180,8051,30459
457,816336735214911488,1943,8618
458,816091915477250048,2135,8965
459,816062466425819140,1015,0
460,816014286006976512,5263,0
461,815990720817401858,1015,4959
462,815966073409433600,8461,22459
463,815745968457060357,4128,0
464,815736392542261248,2260,9878
465,815639385530101762,1652,8244
466,815390420867969024,3811,10385
467,814986499976527872,1279,7685
468,814638523311648768,2692,11297
469,814578408554463233,5838,0
470,814530161257443328,1863,8664
471,814153002265309185,8684,28846
472,813944609378369540,3189,0
473,813910438903693312,1868,9332
474,813812741911748608,13985,36534
475,813800681631023104,1762,8364
476,813217897535406080,7301,18714
477,813202720496779264,1818,9268
478,813187593374461952,4357,19934
479,813172488309972993,1928,9292
480,813157409116065792,2219,7814
481,813142292504645637,2391,8514
482,813130366689148928,451,4493
483,813127251579564032,3142,11881
484,813112105746448384,2747,10341
485,813096984823349248,3639,10626
486,813081950185472002,2793,9939
487,813066809284972545,1961,7983
488,813051746834595840,7382,21087
489,812781120811126785,1912,7606
490,812709060537683968,1437,6645
491,812503143955202048,1223,6105
492,812466873996607488,1939,7997
493,812372279581671427,3664,13707
494,811985624773361665,1404,7297
495,811744202451197953,1597,7573
496,811647686436880384,745,5650
497,811627233043480576,3087,12838
498,811386762094317568,6413,21029
499,810984652412424192,1446,5359
500,810896069567610880,1778,9041
501,810657578271330305,2656,11018
502,810284430598270976,11302,35389
503,810254108431155201,3389,14769
